id,predicted_probability,rank,selected
389,1.0,1,1
0,1.0,2,1
1,1.0,3,1
370,1.0,4,1
270,1.0,5,1
269,1.0,6,1
332,1.0,7,1
278,1.0,8,1
220,1.0,9,1
209,1.0,10,1
210,1.0,11,1
216,1.0,12,1
244,1.0,13,1
221,1.0,14,1
135,1.0,15,1
79,1.0,16,1
92,1.0,17,1
386,1.0,18,1
387,1.0,19,1
137,1.0,20,1
130,1.0,21,1
373,1.0,22,1
7,1.0,23,1
131,1.0,24,1
153,0.9986000837152268,25,1
248,0.9970018512644536,26,1
144,0.9969321942367543,27,1
242,0.9965707814940243,28,1
162,0.9962993602565622,29,1
146,0.9903931821639933,30,1
128,0.9892680732357274,31,1
150,0.9861304936473999,32,1
134,0.9836729212878292,33,1
82,0.9825527542046333,34,1
18,0.9802063866485554,35,1
72,0.9775431325663879,36,1
217,0.9774356895735643,37,1
206,0.9731627803090326,38,1
136,0.9724450281845254,39,1
203,0.9658802268423226,40,1
383,0.9580644843710295,41,1
148,0.9570871196486823,42,1
160,0.9509587969843853,43,1
89,0.9435776427790667,44,1
173,0.9432332539450183,45,1
103,0.9406262705742738,46,1
177,0.9399741140832546,47,1
307,0.9358899460307777,48,1
170,0.9348095481880563,49,1
310,0.9337769754208796,50,1
367,0.9316390786464634,51,1
384,0.9256696539645068,52,1
127,0.9216177800154921,53,1
100,0.9160908861212249,54,1
25,0.9125692279969995,55,1
213,0.9103062720417521,56,1
225,0.9083445663483871,57,1
67,0.9000137198857545,58,1
388,0.8992198507278364,59,1
247,0.8991251605339257,60,1
183,0.8986475853300115,61,1
333,0.8875378219309744,62,1
296,0.8715350618933915,63,1
164,0.8652812343459925,64,1
168,0.8564834088949289,65,1
86,0.8555879645173075,66,1
352,0.8542649104358896,67,1
330,0.852910684485132,68,1
141,0.8460420360985079,69,1
90,0.8434223441365629,70,1
140,0.8421379244851288,71,1
350,0.8416392333365265,72,1
49,0.8356538608888568,73,1
381,0.8348324021490507,74,1
188,0.8274785662140085,75,1
317,0.8178076509268906,76,1
191,0.8008226893240449,77,1
276,0.7838174153698252,78,1
259,0.7827349415898452,79,1
